follower_id,following_id,followed_at,user_id
34,64,2022-09-04 01:22:59,1
836,633,2023-06-19 12:38:40,2
508,711,2024-06-14 11:24:07,3
189,947,2022-10-25 23:14:54,4
442,381,2022-07-16 11:18:26,5
195,1000,2023-08-17 13:29:02,6
946,288,2025-05-09 08:52:46,7
528,270,2024-05-08 23:31:01,8
672,836,2023-02-05 09:29:38,9
705,472,2022-11-12 22:25:35,10
920,566,2024-12-09 12:08:19,11
204,961,2024-07-25 09:34:30,12
286,883,2023-06-15 04:32:48,13
192,995,2022-09-28 14:36:59,14
424,452,2024-08-24 09:10:21,15
342,143,2025-04-23 14:11:43,16
477,185,2024-08-10 07:19:45,17
737,764,2024-09-19 07:57:55,18
706,447,2023-10-07 17:15:04,19
491,470,2022-10-20 05:03:35,20
328,674,2022-12-15 01:59:27,21
332,626,2025-06-22 07:15:56,22
124,282,2024-05-12 10:43:23,23
862,163,2024-01-15 17:31:51,24
945,314,2023-11-08 23:18:48,25
177,40,2025-06-08 02:42:56,26
937,930,2024-12-21 01:58:53,27
351,361,2023-07-12 12:13:52,28
897,967,2023-04-12 11:01:27,29
650,992,2023-02-01 03:28:46,30
249,135,2025-01-12 04:52:21,31
910,452,2024-05-05 12:14:04,32
1000,327,2024-09-09 14:53:28,33
704,15,2023-11-15 03:52:32,34
69,191,2024-11-18 22:55:53,35
402,781,2022-11-06 18:55:47,36
640,253,2025-04-26 02:12:56,37
32,176,2023-05-05 19:29:31,38
23,155,2023-05-08 04:49:20,39
78,292,2025-05-13 21:47:21,40
560,901,2025-04-16 18:33:27,41
563,571,2023-08-18 22:02:27,42
382,711,2023-11-06 15:20:36,43
445,618,2025-01-24 05:25:11,44
480,585,2025-02-18 00:10:40,45
578,173,2022-07-20 09:13:15,46
750,982,2025-03-21 21:43:40,47
58,316,2024-06-24 17:18:47,48
92,260,2023-12-03 04:40:25,49
800,700,2022-08-19 17:17:38,50
486,490,2025-05-09 14:05:32,51
77,300,2024-08-16 10:05:32,52
17,146,2024-05-22 22:58:07,53
772,338,2024-05-06 23:26:32,54
312,422,2024-03-06 14:59:54,55
497,471,2024-01-19 01:15:57,56
31,94,2023-01-11 14:54:24,57
336,614,2024-05-26 04:02:11,58
528,496,2025-04-12 08:01:55,59
678,913,2025-05-16 10:18:52,60
457,404,2023-12-06 00:24:47,61
292,801,2024-05-15 12:55:51,62
23,674,2024-05-01 00:53:21,63
970,614,2023-07-01 17:16:45,64
762,561,2023-06-14 09:06:09,65
619,193,2024-10-13 07:51:55,66
551,90,2024-03-21 21:40:14,67
803,433,2025-06-04 07:14:48,68
137,392,2023-09-10 09:39:02,69
341,632,2024-02-22 07:36:09,70
636,836,2024-12-31 08:49:43,71
684,962,2022-10-22 18:50:02,72
731,385,2025-03-05 14:24:00,73
945,278,2023-12-05 07:43:24,74
178,51,2025-01-08 23:06:59,75
70,366,2023-04-05 04:40:45,76
453,12,2022-07-25 16:51:53,77
358,285,2022-10-31 03:21:16,78
966,490,2023-09-29 03:45:06,79
487,674,2024-04-19 13:32:27,80
392,850,2022-09-22 10:32:06,81
835,789,2023-03-18 02:08:03,82
208,263,2024-07-12 15:43:45,83
294,913,2024-09-15 08:47:34,84
812,362,2024-08-18 05:32:48,85
61,807,2022-09-19 20:49:02,86
828,113,2024-01-14 01:31:24,87
199,372,2023-03-30 21:31:59,88
56,734,2025-07-01 22:20:55,89
140,285,2024-04-09 18:17:00,90
131,64,2024-02-16 01:19:45,91
752,54,2024-11-03 20:50:43,92
789,43,2023-12-09 07:42:48,93
953,727,2024-10-31 03:48:54,94
721,369,2024-05-02 23:07:44,95
58,924,2023-08-29 10:00:44,96
93,17,2023-07-15 13:23:11,97
329,503,2023-01-16 08:17:11,98
